#{"t_start": 1745342090.7553267, "env_id": "None"}
r,l,t
-17271.828611,1,1.728641
-17447.616761,1,1.731913
-18514.398598,1,1.733962
-18387.759525,1,1.737373
-17712.705386,1,1.739697
-17663.992453,1,1.742972
-17658.911531,1,1.745118
-19554.597006,1,1.747305
-19818.432735,1,1.749715
-18695.056358,1,1.751943
-16498.63834,1,1.755021
-18797.545702,1,1.757029
-19987.515331,1,1.759258
-19169.675635,1,1.762495
-18752.751002,1,1.764488
-18020.874475,1,1.766583
-19247.077532,1,1.769003
-18895.289481,1,1.771061
-18249.203533,1,1.774071
-17662.393147,1,1.776441
-17020.41729,1,1.778575
-18612.335471,1,1.780581
-18545.189169,1,1.782614
-17715.256079,1,1.78576
-19613.522306,1,1.787849
-19067.205044,1,1.789859
-18245.229024,1,1.791902
-18167.226292,1,1.794963
-17017.007743,1,1.797102
-17612.231134,1,1.799108
-17951.141226,1,1.801508
-17118.196451,1,1.803598
-18486.983967,1,1.805604
-19398.08589,1,1.80873
-17055.692609,1,1.812059
-18036.937143,1,1.814137
-17098.870013,1,1.817391
-17369.529705,1,1.820763
-18834.774565,1,1.822987
-18041.811971,1,1.826125
-17132.628184,1,1.828351
-18483.058073,1,1.830592
-19213.976586,1,1.833776
-18734.162864,1,1.836007
-17195.336999,1,1.838217
-18828.94368,1,1.839319
-17670.613209,1,1.842595
-18629.922473,1,1.844844
-19157.411682,1,1.847081
-19073.570866,1,1.849206
-18012.137422,1,1.851398
-18328.383214,1,1.853587
-19778.859432,1,1.855776
-18845.806326,1,1.857839
-18378.73896,1,1.8601
-19294.61711,1,1.862334
-18721.250193,1,1.865649
-17793.341427,1,1.868639
-18091.960613,1,1.870634
-19823.659147,1,1.873675
-16917.288125,1,1.875667
-17690.13948,1,1.87766
-17562.631771,1,1.879654
-19645.424179,1,1.882644
-18323.258058,1,1.885139
-18088.695086,1,1.887134
-18132.896117,1,1.889379
-18351.443919,1,1.89155
-18161.193926,1,1.893771
-18929.660572,1,1.896006
-19327.026723,1,1.899118
-17293.248833,1,1.901373
-19497.056229,1,1.903568
-17254.46548,1,1.905646
-16819.041391,1,1.90819
-16997.733992,1,1.910211
-19183.93473,1,1.912243
-17060.103777,1,1.915499
-18609.766845,1,1.91764
-19925.765034,1,1.91965
-19363.239218,1,1.922825
-19282.234327,1,1.92485
-20021.236481,1,1.926859
-20197.747421,1,1.928889
-18659.793651,1,1.932055
-18779.67819,1,1.934274
-20851.914131,1,1.936484
-17183.208295,1,1.939658
-18725.539206,1,1.941736
-17969.06136,1,1.944768
-19209.993649,1,1.946775
-17012.589534,1,1.94984
-17522.569973,1,1.951846
-17834.907598,1,1.953942
-17915.933673,1,1.956033
-18181.848762,1,1.959198
-20464.890095,1,1.961202
-19960.74561,1,1.964347
-17972.021318,1,1.966548
-17175.103566,1,1.968813
-18856.457149,1,1.971941
-18831.197757,1,1.97412
-19203.0664,1,1.976295
-19193.776059,1,1.978507
-18907.166674,1,1.980735
-19878.668536,1,1.982967
-17629.64752,1,1.984558
-16944.263073,1,1.986735
-19825.426312,1,1.988863
-17306.315752,1,1.991067
-16838.014251,1,1.99352
-18898.690835,1,1.995655
-18231.179386,1,1.997984
-18201.039798,1,2.001337
-18368.908732,1,2.003493
-18542.093675,1,2.005734
-18278.36653,1,2.007833
-17565.19725,1,2.010244
-19897.66417,1,2.012536
-19120.525863,1,2.014778
-18251.21092,1,2.017029
-18555.582532,1,2.020166
-17909.92392,1,2.022346
-18024.393934,1,2.024468
-17734.823755,1,2.027691
-17529.247342,1,2.029905
-17121.175486,1,2.032309
-17980.189436,1,2.034514
-18668.045084,1,2.037645
-17472.885967,1,2.039652
-21062.099412,1,2.041678
-19282.810755,1,2.044758
-20647.144244,1,2.047006
-18859.828151,1,2.049217
-19179.989647,1,2.05132
-18247.769838,1,2.054617
-19084.618157,1,2.056813
-18610.933261,1,2.058953
-18200.924978,1,2.061208
-16513.801116,1,2.063445
-17916.901315,1,2.06564
-18693.44703,1,2.068798
-19191.863905,1,2.071003
-16198.2318,1,2.07318
-18341.206347,1,2.075381
-16229.096488,1,2.077676
-17941.152364,1,2.079926
-18145.948895,1,2.083168
-19668.971149,1,2.085888
-16418.595378,1,2.088071
-18937.421611,1,2.091316
-16395.161309,1,2.093494
-19430.499623,1,2.096531
-19109.075619,1,2.098524
-19944.241777,1,2.100815
-17927.824386,1,2.103903
-19460.681107,1,2.105896
-18706.886665,1,2.108137
-19254.236642,1,2.110204
-16557.483607,1,2.11223
-18959.242805,1,2.115354
-19628.593791,1,2.117624
-18713.070613,1,2.119863
-17620.425751,1,2.122088
-18501.424734,1,2.125341
-18696.073041,1,2.127334
-19217.236562,1,2.130363
-19733.301893,1,2.132717
-18820.213961,1,2.134741
-18823.279263,1,2.13773
-19538.538919,1,2.140593
-18776.969993,1,2.143164
-17005.147761,1,2.145202
-20571.010541,1,2.14871
-19114.258536,1,2.150701
-20125.024004,1,2.152694
-16672.976597,1,2.156307
-16685.913939,1,2.159887
-19002.710745,1,2.162166
-17962.401046,1,2.164734
-18163.235795,1,2.16697
-18024.322013,1,2.169189
-17720.557538,1,2.171365
-18053.331188,1,2.175095
-17816.879861,1,2.177269
-17904.542247,1,2.180426
-17864.348835,1,2.18242
-19983.152828,1,2.184919
-17451.356845,1,2.186914
-17284.801961,1,2.188907
-19396.38344,1,2.192162
-18922.318184,1,2.194373
-19118.855359,1,2.196584
-18064.224968,1,2.198781
-19089.578909,1,2.20102
-18019.509381,1,2.202151
-18628.68706,1,2.204526
-18354.406371,1,2.207726
-18345.199089,1,2.209783
-18094.722071,1,2.211827
-19690.452154,1,2.213833
-18597.28543,1,2.215839
-19823.64882,1,2.218924
-19288.535073,1,2.220929
-20470.770194,1,2.222957
-18365.247914,1,2.225217
-17926.267711,1,2.227247
-18005.983256,1,2.229255
-18346.091497,1,2.231261
-17794.890749,1,2.233499
-18465.36152,1,2.235517
-19142.920089,1,2.237657
-18835.479142,1,2.240679
-18574.799215,1,2.242853
-17320.400772,1,2.24486
-19482.602237,1,2.247998
-18214.602204,1,2.250118
-19783.099238,1,2.252129
-18710.752721,1,2.254159
-19591.872795,1,2.256168
-19934.19292,1,2.258195
-18675.20724,1,2.260403
-19393.976205,1,2.263437
-16912.941428,1,2.265438
-19066.102698,1,2.269218
-19377.50631,1,2.271521
-17593.185604,1,2.273729
-19160.180208,1,2.275913
-18040.583616,1,2.278089
-19260.188224,1,2.281496
-16922.961598,1,2.283691
-17756.493004,1,2.285298
-19053.12411,1,2.287544
-17371.691086,1,2.289752
-17097.784639,1,2.29199
-17818.61304,1,2.29498
-19167.465217,1,2.297112
-18468.617076,1,2.299117
-18859.884231,1,2.301142
-19387.970191,1,2.303168
